Country,Beverage Types,2017,2016,2015,2014,2013,2012,2011,2010
Afghanistan,All types,0.01,0.02,0,0.01,0.01,0.01,0.01,0.01
Afghanistan,Beer,0,0,0,0,0.01,0.01,0.01,0.01
Afghanistan,Wine,0,0,0,0,0,0,0,0
Afghanistan,Spirits,0.01,0.01,0,0.01,0,0,0,0
Afghanistan,Other alcoholic beverages,0,0,0,0,0,0,0,0
Angola,All types,5.47,5.38,5.94,7.49,7.01,7.14,6.95,6.83
Angola,Beer,3.64,3.39,3.26,4.5,4.47,4.61,4.44,4.24
Angola,Wine,0.59,0.73,1.24,1.28,1,1.01,0.96,0.95
Angola,Spirits,1.15,1.17,1.34,1.58,1.43,1.42,1.44,1.49
Angola,Other alcoholic beverages,0.09,0.09,0.1,0.12,0.12,0.11,0.11,0.14
Armenia,All types,3.83,3.82,4.04,4.22,3.92,3.89,4.07,4.23
Armenia,Beer,0.49,0.42,0.49,0.52,0.43,0.25,0.34,0.4
Armenia,Wine,0.38,0.3,0.22,0.22,0.28,0.25,0.31,0.24
Armenia,Spirits,2.96,3.1,3.33,3.48,3.21,3.38,3.42,3.58
Armenia,Other alcoholic beverages,0.01,0,0,0.01,0.01,0.01,0.01,0.01
Australia,All types,9.49,9.79,9.68,9.9,10,10.03,10.3,10.52
Australia,Beer,3.68,3.87,3.76,4.02,4.04,4.14,4.31,4.51
Australia,Wine,3.74,3.79,3.8,3.76,3.79,3.78,3.79,3.87
Australia,Spirits,1.23,1.25,1.22,1.23,1.29,1.26,1.34,1.3
Australia,Other alcoholic beverages,0.84,0.88,0.9,0.89,0.88,0.85,0.86,0.84
Austria,All types,11.7,11.7,11.6,12.2,11.6,12.1,11.9,12.1
Austria,Beer,6.2,6.2,6,6.3,6,6.3,6.1,6.1
Austria,Wine,3.6,3.7,3.6,4.2,3.9,4.1,4.1,4.3
Austria,Spirits,1.9,1.9,1.9,1.7,1.7,1.7,1.7,1.7
Austria,Other alcoholic beverages,0,0,0,0,0,0,0,0
Azerbaijan,All types,2.92,3.05,4.14,2,2.08,2.01,1.97,1.92
Azerbaijan,Beer,0.31,0.24,0.3,0.2,0.32,0.29,0.29,0.29
Azerbaijan,Wine,0.13,0.15,0.13,0.15,0.15,0.15,0.15,0.15
Azerbaijan,Spirits,2.48,2.66,3.71,1.64,1.6,1.55,1.52,1.47
Azerbaijan,Other alcoholic beverages,0,0.01,0,0.01,0.01,0.01,0.01,0.01
Bahamas,All types,8.84,8.69,8.71,8.78,8.64,8.72,8.81,8.72
Bahamas,Beer,3.43,3.41,3.39,3.53,3.47,3.41,3.34,3.23
Bahamas,Wine,1.38,1.38,1.37,1.36,1.35,1.36,1.4,1.39
Bahamas,Spirits,3.74,3.6,3.61,3.54,3.46,3.56,3.68,3.69
Bahamas,Other alcoholic beverages,0.29,0.3,0.34,0.36,0.36,0.38,0.39,0.41
Bangladesh,All types,0,0,0,0,0,0,0,0
Bangladesh,Beer,0,0,0,0,0,0,0,0
Bangladesh,Wine,0,0,0,0,0,0,0,0
Bangladesh,Spirits,0,0,0,0,0,0,0,0
Bangladesh,Other alcoholic beverages,0,0,0,0,0,0,0,0
Belarus,All types,9.75,9.7,9.72,11.21,12.49,13.47,14.41,14.34
Belarus,Beer,2.05,2.06,1.99,2.15,2.34,2.18,2.29,2.36
Belarus,Wine,0.85,0.8,0.75,0.84,0.84,0.76,0.73,0.75
Belarus,Spirits,4.48,4.49,4.21,4.73,5.37,6.54,6.39,5.91
Belarus,Other alcoholic beverages,2.37,2.36,2.77,3.5,3.94,4,5.01,5.32
Belgium,All types,9.42,9.42,10.36,10.57,10.33,10.09,10.14,10.27
Belgium,Beer,4.46,4.46,4.6,4.72,4.6,4.78,4.89,5.03
Belgium,Wine,3.47,3.47,3.97,3.97,3.87,3.72,3.71,3.72
Belgium,Spirits,1.15,1.15,1.47,1.47,1.42,1.54,1.49,1.48
Belgium,Other alcoholic beverages,0.34,0.34,0.32,0.41,0.44,0.05,0.05,0.05
Benin,All types,1.37,1.46,1.56,1.59,1.44,1.48,1.5,1.42
Benin,Beer,0.87,0.95,1.03,1.04,0.92,0.99,0.82,0.7
Benin,Wine,0.06,0.08,0.09,0.11,0.09,0.13,0.22,0.25
Benin,Spirits,0.21,0.21,0.21,0.21,0.21,0.15,0.16,0.17
Benin,Other alcoholic beverages,0.22,0.22,0.22,0.22,0.22,0.21,0.29,0.3
Bhutan,All types,0.06,0.02,0.04,0.19,0.28,0.3,0.23,0.22
Bhutan,Beer,0.01,0.01,0.04,0.04,0.23,0.17,0.15,0.11
Bhutan,Wine,0.05,0,0,0,0,0.01,0.01,0.01
Bhutan,Spirits,0,0,0,0.15,0.05,0.12,0.07,0.1
Bhutan,Other alcoholic beverages,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,All types,4.97,4.81,4.73,4.64,4.59,4.76,4.67,4.55
Bosnia and Herzegovina,Beer,3.81,3.68,3.58,3.41,3.45,3.63,3.52,3.37
Bosnia and Herzegovina,Wine,0.44,0.43,0.46,0.47,0.46,0.42,0.42,0.44
Bosnia and Herzegovina,Spirits,0.56,0.55,0.54,0.62,0.54,0.57,0.6,0.6
Bosnia and Herzegovina,Other alcoholic beverages,0.16,0.16,0.15,0.15,0.14,0.14,0.13,0.13
Botswana,All types,4.8,5.14,5.12,4.97,4.81,5.22,6.1,5.69
Botswana,Beer,2.63,3.06,3.05,2.9,2.6,2.25,2.27,2.37
Botswana,Wine,0.37,0.28,0.26,0.27,0.42,0.43,0.56,0.72
Botswana,Spirits,0.28,0.28,0.28,0.28,0.28,0.57,1.5,0.64
Botswana,Other alcoholic beverages,1.52,1.52,1.52,1.52,1.52,1.98,1.77,1.96
Brazil,All types,6.24,6.33,6.59,6.88,6.82,7.08,7.11,7.12
Brazil,Beer,3.84,3.91,4.08,4.25,4.07,4.28,4.19,4.18
Brazil,Wine,0.26,0.23,0.24,0.26,0.27,0.25,0.3,0.3
Brazil,Spirits,2.11,2.16,2.25,2.34,2.44,2.52,2.59,2.62
Brazil,Other alcoholic beverages,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Burundi,All types,4,3.89,3.92,3.86,3.88,4.22,4.45,4.48
Burundi,Beer,1.81,1.69,1.73,1.66,1.69,1.62,1.58,1.58
Burundi,Wine,0,0,0,0,0,0,0,0
Burundi,Spirits,0.01,0.01,0.01,0.01,0.01,0,0,0
Burundi,Other alcoholic beverages,2.18,2.18,2.18,2.18,2.18,2.59,2.85,2.89
Cabo Verde,All types,4.13,4.11,4.39,4.17,3.82,5.05,5.14,4.81
Cabo Verde,Beer,2.27,2.27,2.27,2.27,2.27,2.32,2.82,2.52
Cabo Verde,Wine,1.57,1.56,1.84,1.62,1.26,1.58,1.61,1.68
Cabo Verde,Spirits,0.28,0.28,0.28,0.28,0.28,1.16,0.7,0.61
Cabo Verde,Other alcoholic beverages,0,0,0,0,0,0,0,0
Cambodia,All types,3.7,3.5,3.34,3.06,2.8,2.52,2.4,2.16
Cambodia,Beer,3.29,3.1,2.93,2.64,2.38,2.09,1.99,1.75
Cambodia,Wine,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01
Cambodia,Spirits,0.38,0.38,0.4,0.4,0.41,0.41,0.4,0.39
Cambodia,Other alcoholic beverages,0,0,0,0,0,0,0,0
Cameroon,All types,4.19,4.15,4.59,4.77,6.66,6.52,5.98,5.96
Cameroon,Beer,2.47,2.49,2.9,3.08,3.07,2.89,2.58,2.62
Cameroon,Wine,0.12,0.06,0.09,0.12,0.11,0.12,0.11,0.09
Cameroon,Spirits,0.01,0.01,0.01,0.01,0,0.03,0,0
Cameroon,Other alcoholic beverages,1.59,1.59,1.59,1.56,3.48,3.48,3.29,3.26
Canada,All types,8.2,8.1,8,8,8.2,8.3,8.2,8.3
Canada,Beer,3.6,3.7,3.7,3.8,3.9,4,4,4.2
Canada,Wine,2.1,2.1,2,2,2,2,1.9,1.9
Canada,Spirits,2.1,2.1,2,2,2.1,2.1,2.1,2.1
Canada,Other alcoholic beverages,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2
Chad,All types,0.42,0.5,0.5,0.5,0.62,1,1.02,1.04
Chad,Beer,0.4,0.46,0.48,0.47,0.41,0.37,0.37,0.32
Chad,Wine,0.01,0.03,0.01,0.01,0.01,0.42,0.47,0.54
Chad,Spirits,0.01,0.01,0.01,0.03,0.04,0.04,0.04,0.03
Chad,Other alcoholic beverages,0,0,0,0,0.16,0.18,0.14,0.15
Chile,All types,7.84,7.78,7.89,7.92,7.23,8.35,7.02,7.55
Chile,Beer,2.8,2.74,2.85,2.79,2.67,2.55,2.51,2.35
Chile,Wine,2.61,2.61,2.61,2.85,2.37,2.65,2.51,3.1
Chile,Spirits,2.43,2.43,2.43,2.28,2.19,3.15,2,2.1
Chile,Other alcoholic beverages,0,0,0,0,0,0,0,0
China,All types,5.64,5.63,5.66,5.76,5.76,5.69,5.57,5.75
China,Beer,1.67,1.68,1.74,1.86,1.88,1.82,1.76,1.67
China,Wine,0.2,0.18,0.17,0.16,0.18,0.18,0.18,0.17
China,Spirits,3.78,3.77,3.75,3.73,3.7,3.7,3.64,3.91
China,Other alcoholic beverages,0,0,0,0,0,0,0,0
Colombia,All types,4.33,4.54,4.48,4.34,4.33,4.36,4.28,4.19
Colombia,Beer,3.04,3.18,3.14,2.99,2.98,2.99,2.9,2.8
Colombia,Wine,0.1,0.1,0.1,0.1,0.06,0.06,0.06,0.05
Colombia,Spirits,1.18,1.24,1.22,1.23,1.27,1.28,1.3,1.33
Colombia,Other alcoholic beverages,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Costa Rica,All types,3.84,3.77,3.72,3.64,3.6,3.51,3.58,3.75
Costa Rica,Beer,2.43,2.38,2.31,2.27,2.23,2.22,2.12,2.11
Costa Rica,Wine,0.37,0.37,0.37,0.35,0.32,0.31,0.31,0.29
Costa Rica,Spirits,1.02,1,1.02,0.99,1.02,0.96,1.12,1.31
Costa Rica,Other alcoholic beverages,0.02,0.02,0.03,0.02,0.03,0.03,0.03,0.03
Côte d'Ivoire,All types,1.58,1.53,1.58,1.39,1.22,1.25,1.17,1.13
Côte d'Ivoire,Beer,1,0.95,1.04,0.91,0.79,0.78,0.71,0.69
Côte d'Ivoire,Wine,0.41,0.43,0.38,0.31,0.27,0.32,0.32,0.32
Côte d'Ivoire,Spirits,0.1,0.1,0.11,0.11,0.12,0.12,0.11,0.1
Côte d'Ivoire,Other alcoholic beverages,0.07,0.06,0.06,0.05,0.04,0.04,0.03,0.03
Croatia,All types,10.06,10.39,9.99,9.87,10.76,10.96,11.4,11.1
Croatia,Beer,4.67,4.63,4.56,4.26,4.62,4.56,4.73,4.48
Croatia,Wine,3.7,4.08,3.76,3.95,4.52,4.79,5.08,5.03
Croatia,Spirits,1.35,1.35,1.34,1.33,1.28,1.24,1.21,1.19
Croatia,Other alcoholic beverages,0.34,0.33,0.33,0.33,0.34,0.36,0.39,0.39
Cuba,All types,4.46,4.35,4.42,4.3,4.13,4.09,4.11,4.07
Cuba,Beer,1.71,1.7,1.77,1.72,1.68,1.64,1.62,1.6
Cuba,Wine,0.07,0.07,0.07,0.06,0.07,0.05,0.05,0.05
Cuba,Spirits,2.66,2.57,2.56,2.5,2.37,2.39,2.42,2.4
Cuba,Other alcoholic beverages,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Cyprus,All types,9.59,9.59,9.59,9.63,9.07,10.58,10.71,11.33
Cyprus,Beer,2.85,2.85,2.85,3.22,3.32,3.49,3.54,3.79
Cyprus,Wine,2.72,2.72,2.72,2.79,2.49,2.61,2.56,2.67
Cyprus,Spirits,4.02,4.02,4.02,3.62,3.26,4.48,4.61,4.87
Cyprus,Other alcoholic beverages,0,0,0,0,0,0,0,0
Czechia,All types,12.93,12.93,12.76,12.74,12.53,12.82,12.56,12.68
Czechia,Beer,6.89,6.89,6.87,6.87,6.86,6.93,6.64,6.72
Czechia,Wine,2.76,2.76,2.66,2.74,2.63,2.77,2.71,2.71
Czechia,Spirits,3.28,3.28,3.23,3.13,3.03,3.12,3.21,3.26
Czechia,Other alcoholic beverages,0,0,0,0,0,0,0,0
Denmark,All types,9.3,9.51,9.42,9.56,9.44,9.23,10.45,10.27
Denmark,Beer,3.43,3.56,3.45,3.57,3.48,3.55,3.81,3.86
Denmark,Wine,4.15,4.25,4.26,4.31,4.31,4.09,5.04,4.92
Denmark,Spirits,1.64,1.62,1.65,1.59,1.57,1.51,1.51,1.44
Denmark,Other alcoholic beverages,0.08,0.08,0.07,0.08,0.07,0.08,0.1,0.05
Dominica,All types,9.63,9.88,9.97,9.99,10.2,10.1,10.11,10.22
Dominica,Beer,2.11,2.37,2.34,2.34,2.32,2.29,2.23,2.17
Dominica,Wine,0.29,0.29,0.29,0.24,0.41,0.27,0.28,0.39
Dominica,Spirits,7.23,7.23,7.34,7.41,7.47,7.54,7.6,7.66
Dominica,Other alcoholic beverages,0,0,0,0,0,0,0,0
Dominican Republic,All types,5.6,5.55,5.59,5.47,5.53,5.52,5.48,5.54
Dominican Republic,Beer,2.97,2.87,2.83,2.78,2.77,2.74,2.69,2.66
Dominican Republic,Wine,0.33,0.34,0.36,0.31,0.26,0.24,0.22,0.2
Dominican Republic,Spirits,2.24,2.28,2.34,2.33,2.43,2.48,2.5,2.61
Dominican Republic,Other alcoholic beverages,0.05,0.05,0.07,0.06,0.06,0.06,0.07,0.07
Ecuador,All types,3.08,3.34,3.88,3.98,3.98,4.12,4.21,4.28
Ecuador,Beer,2.3,2.53,3,3,2.96,2.88,2.78,2.68
Ecuador,Wine,0.23,0.23,0.23,0.25,0.25,0.26,0.26,0.37
Ecuador,Spirits,0.53,0.55,0.62,0.72,0.75,0.96,1.15,1.21
Ecuador,Other alcoholic beverages,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.02
Egypt,All types,0.13,0.15,0.18,0.19,0.19,0.19,0.19,0.2
Egypt,Beer,0.08,0.09,0.11,0.11,0.11,0.11,0.11,0.11
Egypt,Wine,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Egypt,Spirits,0.04,0.04,0.06,0.07,0.06,0.07,0.06,0.07
Egypt,Other alcoholic beverages,0,0,0,0,0,0,0,0
El Salvador,All types,2.81,2.64,2.54,2.45,2.34,2.41,2.31,2.29
El Salvador,Beer,1.39,1.27,1.16,1.07,1.04,1,0.93,0.92
El Salvador,Wine,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04
El Salvador,Spirits,1.37,1.32,1.33,1.32,1.25,1.36,1.33,1.33
El Salvador,Other alcoholic beverages,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
Estonia,All types,13.27,15.95,16.7,17.35,17.77,16.91,16.18,14.83
Estonia,Beer,4.77,5.5,5.71,5.88,5.9,5.84,5.65,5.55
Estonia,Wine,2.15,2.32,2.21,2.14,2.14,1.98,1.82,1.62
Estonia,Spirits,4.89,6.29,6.82,7.11,7.47,7.11,6.9,5.94
Estonia,Other alcoholic beverages,1.46,1.83,1.96,2.22,2.26,1.97,1.81,1.72
Ethiopia,All types,0.95,0.86,0.62,0.53,0.46,0.44,0.35,0.31
Ethiopia,Beer,0.92,0.82,0.58,0.5,0.43,0.41,0.32,0.28
Ethiopia,Wine,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Ethiopia,Spirits,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Ethiopia,Other alcoholic beverages,0,0,0,0,0,0,0,0
Finland,All types,8.37,8.44,8.52,8.76,9.08,9.27,9.81,9.72
Finland,Beer,4.04,4.11,4.13,4.17,4.28,4.27,4.61,4.47
Finland,Wine,1.75,1.74,1.75,1.8,1.84,1.89,1.89,1.86
Finland,Spirits,1.14,1.15,1.18,1.24,1.3,1.38,1.44,1.5
Finland,Other alcoholic beverages,1.44,1.43,1.45,1.54,1.65,1.74,1.87,1.89
France,All types,11.69,11.74,11.87,12.07,11.73,12.22,12.35,12.3
France,Beer,2.3,2.21,2.16,2.26,1.8,2.15,2.1,2.18
France,Wine,6.79,6.9,7.09,7.04,7.13,7.33,7.41,7.27
France,Spirits,2.41,2.43,2.42,2.47,2.5,2.54,2.64,2.65
France,Other alcoholic beverages,0.19,0.2,0.2,0.3,0.3,0.2,0.2,0.2
Georgia,All types,5.83,7.51,7.52,6.86,6.7,7.12,8.12,7.53
Georgia,Beer,1.64,1.41,1.41,1.39,1.38,1.28,1.95,1.42
Georgia,Wine,1.53,3.29,3.1,2.37,2.25,2.75,3.19,3.16
Georgia,Spirits,2.65,2.79,3,3.09,3.05,3.09,2.98,2.94
Georgia,Other alcoholic beverages,0.02,0.02,0.02,0.01,0.01,0.01,0,0
Germany,All types,10.81,10.93,11.05,11.06,11.07,11.31,11.32,11.21
Germany,Beer,5.64,5.75,5.87,5.87,5.88,6,6.01,6.21
Germany,Wine,3.11,3.11,3.11,3.11,3.11,3.23,3.24,3.22
Germany,Spirits,2.07,2.07,2.07,2.07,2.07,2.08,2.08,2.15
Germany,Other alcoholic beverages,0,0,0,0,0,0,0,0
Ghana,All types,1.67,1.62,1.84,1.88,1.89,1.91,1.84,1.73
Ghana,Beer,0.49,0.48,0.47,0.46,0.43,0.44,0.48,0.48
Ghana,Wine,0,0,0.1,0.08,0.15,0.24,0.21,0.18
Ghana,Spirits,0.43,0.47,0.55,0.58,0.44,0.41,0.38,0.36
Ghana,Other alcoholic beverages,0.75,0.66,0.72,0.76,0.87,0.82,0.77,0.72
Greece,All types,6.4,6.37,6.57,6.96,7.44,7.5,7.34,8.2
Greece,Beer,1.99,2.05,2,2.04,2.07,2.07,2.06,2.2
Greece,Wine,2.88,2.84,3.08,3.37,3.81,3.88,3.59,4.08
Greece,Spirits,1.44,1.4,1.41,1.46,1.47,1.46,1.59,1.8
Greece,Other alcoholic beverages,0.09,0.09,0.08,0.08,0.09,0.09,0.09,0.12
Grenada,All types,9.12,8.87,8.69,8.54,8.53,8.51,8.37,8.36
Grenada,Beer,3.78,3.63,3.57,3.56,3.58,3.57,3.55,3.55
Grenada,Wine,0.67,0.67,0.67,0.68,0.67,0.64,0.64,0.61
Grenada,Spirits,4.33,4.3,4.16,4.01,4.05,4.09,3.99,3.99
Grenada,Other alcoholic beverages,0.33,0.27,0.29,0.29,0.23,0.2,0.2,0.2
