"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Latvia"," Data source"," Beer","5.30","5.30","4.80","4.80","4.80","4.70","4.67","4.86","4.61"
"Latvia"," Data source"," Wine","1.40","1.40","1.30","1.20","1.20","1.10","1.16","1.13","1.05"
"Latvia"," Data source"," Spirits","5.10","5.10","4.50","4.10","4.00","3.99","3.77","3.57","3.64"
"Latvia"," Data source"," Other alcoholic beverages","0.80","0.80","0.70","0.70","0.60","0.64","0.60","0.55","0.53"
"Lebanon"," Data source"," All types","1.33","1.32","1.27","1.24","1.27","1.27","1.33","1.41","1.50"
"Lebanon"," Data source"," Beer","0.44","0.44","0.41","0.38","0.37","0.30","0.32","0.35","0.41"
"Lebanon"," Data source"," Wine","0.24","0.24","0.25","0.25","0.24","0.25","0.24","0.22","0.22"
"Lebanon"," Data source"," Spirits","0.63","0.62","0.59","0.59","0.64","0.69","0.75","0.82","0.85"
"Lebanon"," Data source"," Other alcoholic beverages","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"Lesotho"," Data source"," All types","2.82","2.82","2.89","2.81","2.60","2.58","2.46","2.40","2.80"
"Lesotho"," Data source"," Beer","1.62","1.62","1.69","1.61","1.40","1.38","1.40","1.47","1.46"
"Lesotho"," Data source"," Wine","0.09","0.09","0.09","0.09","0.09","0.09","0","0.01","0.01"
"Lesotho"," Data source"," Spirits","0.30","0.30","0.30","0.30","0.30","0.30","0.60","0.58","0.59"
"Lesotho"," Data source"," Other alcoholic beverages","0.81","0.81","0.81","0.81","0.81","0.81","0.45","0.35","0.74"
"Liberia"," Data source"," All types","3.55","3.55","3.53","3.52","3.47","3.73","3.76","3.75","3.64"
"Liberia"," Data source"," Beer","0.37","0.37","0.36","0.33","0.31","0.56","0.53","0.49","0.33"
"Liberia"," Data source"," Wine","0.05","0.05","0.05","0.06","0.03","0.05","0.03","0.05","0.03"
"Liberia"," Data source"," Spirits","3.11","3.11","3.11","3.11","3.11","3.11","3.19","3.19","3.29"
"Liberia"," Data source"," Other alcoholic beverages","0.02","0.02","0.02","0.02","0.02","0.02","0","0.02","0"
"Libya"," Data source"," All types","0.01","0.01","0.00","0.01","0.03","0.01","0.02","0.00","0.01"
"Libya"," Data source"," Beer","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00"
"Libya"," Data source"," Wine","0.01","0.01","0.00","0.01","0.03","0.01","0.01","0","0.00"
"Libya"," Data source"," Spirits","0.00","0.00","0.00","0.00","0.00","0","0.01","0.00","0.00"
"Libya"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0.00","0.00"
"Lithuania"," Data source"," All types","11.49","11.96","13.39","14.20","14.93","14.75","14.87","14.72","13.22"
"Lithuania"," Data source"," Beer","4.47","4.72","5.10","5.36","5.46","5.26","5.60","5.77","5.46"
"Lithuania"," Data source"," Wine","0.80","0.81","1.04","1.14","1.51","1.49","1.44","1.35","1.10"
"Lithuania"," Data source"," Spirits","4.75","4.97","5.51","5.78","5.82","5.74","5.63","5.51","4.65"
"Lithuania"," Data source"," Other alcoholic beverages","1.46","1.46","1.73","1.92","2.13","2.26","2.21","2.09","2.01"
"Luxembourg"," Data source"," All types","10.94","11.16","11.24","11.36","11.41","11.25","11.66","11.74","11.84"
"Luxembourg"," Data source"," Beer","4.03","3.97","3.98","4.02","4.07","3.84","4.08","4.05","4.19"
"Luxembourg"," Data source"," Wine","4.70","4.95","5.00","5.10","5.07","5.12","5.28","5.32","5.25"
"Luxembourg"," Data source"," Spirits","2.21","2.24","2.25","2.25","2.27","2.29","2.31","2.36","2.40"
"Luxembourg"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"Madagascar"," Data source"," All types","0.91","0.91","0.89","0.88","0.78","0.85","0.86","0.90","0.96"
"Madagascar"," Data source"," Beer","0.50","0.50","0.48","0.46","0.44","0.42","0.45","0.50","0.53"
"Madagascar"," Data source"," Wine","0.07","0.07","0.07","0.08","0.08","0.08","0.10","0.10","0.10"
"Madagascar"," Data source"," Spirits","0.34","0.34","0.34","0.34","0.26","0.34","0.31","0.30","0.33"
"Madagascar"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0"
"Malawi"," Data source"," All types","2.00","2.00","2.00","1.99","1.94","1.94","1.79","1.81","1.63"
"Malawi"," Data source"," Beer","0.17","0.17","0.18","0.17","0.16","0.16","0.16","0.15","0.15"
"Malawi"," Data source"," Wine","0.02","0.02","0.02","0.02","0.01","0.02","0.02","0.02","0.02"
"Malawi"," Data source"," Spirits","0.19","0.19","0.19","0.19","0.10","0.22","0.27","0.16","0.17"
"Malawi"," Data source"," Other alcoholic beverages","1.61","1.61","1.61","1.61","1.67","1.54","1.34","1.48","1.29"
"Malaysia"," Data source"," All types","0.58","0.58","0.59","0.54","0.55","0.56","0.57","0.55","0.52"
"Malaysia"," Data source"," Beer","0.43","0.43","0.43","0.39","0.39","0.40","0.41","0.39","0.38"
"Malaysia"," Data source"," Wine","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.03"
"Malaysia"," Data source"," Spirits","0.10","0.11","0.11","0.11","0.11","0.11","0.11","0.11","0.10"
"Malaysia"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Maldives"," Data source"," All types","1.11","1.11","1.12","1.09","1.12","1.15","1.14","1.64","1.50"
"Maldives"," Data source"," Beer","0.33","0.33","0.33","0.33","0.33","0.33","0.34","0.42","0.42"
"Maldives"," Data source"," Wine","0.44","0.44","0.45","0.42","0.44","0.48","0.46","0.51","0.43"
"Maldives"," Data source"," Spirits","0.34","0.34","0.34","0.34","0.34","0.34","0.34","0.71","0.65"
"Maldives"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0.00","0.00"
"Mali"," Data source"," All types","0.59","0.59","0.58","0.59","0.58","0.59","0.62","0.61","0.59"
"Mali"," Data source"," Beer","0.10","0.10","0.09","0.09","0.10","0.09","0.08","0.08","0.07"
"Mali"," Data source"," Wine","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Mali"," Data source"," Spirits","0","0","0","0","0","0","0","0.02","0.02"
"Mali"," Data source"," Other alcoholic beverages","0.48","0.48","0.48","0.48","0.48","0.49","0.53","0.50","0.49"
"Malta"," Data source"," All types","7.87","7.78","7.51","7.29","7.37","7.37","7.20","6.89","6.98"
"Malta"," Data source"," Beer","2.83","2.83","2.82","2.80","2.80","2.79","2.78","2.78","2.77"
"Malta"," Data source"," Wine","2.33","2.33","2.16","2.02","2.12","2.08","2.15","1.99","2.22"
"Malta"," Data source"," Spirits","2.31","2.24","2.16","2.12","2.06","2.13","1.94","1.81","1.68"
"Malta"," Data source"," Other alcoholic beverages","0.40","0.38","0.37","0.36","0.39","0.37","0.34","0.31","0.31"
"Mauritania"," Data source"," All types","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.01"
"Mauritania"," Data source"," Beer","0","0","0","0","0","0","0","0.00","0.00"
"Mauritania"," Data source"," Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Mauritania"," Data source"," Spirits","0","0","0","0","0","0","0","0.00","0.00"
"Mauritania"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0.00","0"
"Mauritius"," Data source"," All types","3.09","3.10","3.07","2.61","2.82","2.98","2.97","3.04","2.96"
"Mauritius"," Data source"," Beer","1.88","1.88","1.83","1.41","1.68","1.85","1.84","1.84","1.80"
"Mauritius"," Data source"," Wine","0.39","0.40","0.41","0.38","0.31","0.30","0.30","0.31","0.35"
"Mauritius"," Data source"," Spirits","0.79","0.79","0.79","0.79","0.79","0.80","0.81","0.87","0.78"
"Mauritius"," Data source"," Other alcoholic beverages","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.02","0.02"
"Mexico"," Data source"," All types","4.25","4.25","4.25","4.24","3.94","3.81","3.86","4.00","4.05"
"Mexico"," Data source"," Beer","3.72","3.72","3.72","3.59","3.38","3.28","3.41","3.53","3.53"
"Mexico"," Data source"," Wine","0.19","0.19","0.19","0.20","0.18","0.20","0.19","0.18","0.18"
"Mexico"," Data source"," Spirits","0.19","0.19","0.19","0.24","0.24","0.19","0.12","0.18","0.23"
"Mexico"," Data source"," Other alcoholic beverages","0.15","0.15","0.15","0.21","0.15","0.14","0.13","0.11","0.11"
"Micronesia (Federated States of)"," Data source"," All types","1.59","1.59","1.59","1.59","1.59","1.67","2.98","1.91","1.78"
"Micronesia (Federated States of)"," Data source"," Beer","0.92","0.92","0.92","0.92","0.92","0.89","1.03","0.90","0.86"
"Micronesia (Federated States of)"," Data source"," Wine","0.13","0.13","0.13","0.13","0.13","0.27","1.38","0.47","0.31"
"Micronesia (Federated States of)"," Data source"," Spirits","0.52","0.52","0.52","0.52","0.52","0.50","0.56","0.51","0.60"
"Micronesia (Federated States of)"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.01"
"Mongolia"," Data source"," All types","5.77","6.24","6.90","8.40","9.93","12.64","7.55","6.66","7.74"
"Mongolia"," Data source"," Beer","2.25","2.05","2.16","2.14","2.13","2.34","2.30","1.97","1.61"
"Mongolia"," Data source"," Wine","1.59","1.37","1.34","1.20","1.39","1.44","1.58","1.53","1.23"
"Mongolia"," Data source"," Spirits","1.93","2.82","3.40","5.06","6.41","8.85","3.67","3.17","4.90"
"Mongolia"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"Montenegro"," Data source"," All types","9.29","9.18","8.97","8.34","8.44","9.51","9.25","8.91","9.83"
"Montenegro"," Data source"," Beer","3.45","3.45","3.45","3.45","3.53","3.88","4.21","3.94","4.14"
"Montenegro"," Data source"," Wine","2.56","2.56","2.45","1.98","2.09","2.89","2.41","2.41","3.22"
"Montenegro"," Data source"," Spirits","3.15","3.04","2.93","2.78","2.66","2.57","2.48","2.40","2.31"
"Montenegro"," Data source"," Other alcoholic beverages","0.13","0.13","0.13","0.13","0.17","0.16","0.14","0.16","0.17"
"Morocco"," Data source"," All types","0.43","0.43","0.40","0.39","0.41","0.45","0.46","0.46","0.47"
"Morocco"," Data source"," Beer","0.17","0.17","0.16","0.16","0.15","0.17","0.18","0.18","0.20"
"Morocco"," Data source"," Wine","0.18","0.18","0.17","0.17","0.19","0.20","0.20","0.19","0.18"
"Morocco"," Data source"," Spirits","0.08","0.07","0.07","0.06","0.07","0.07","0.08","0.09","0.09"
"Morocco"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"Mozambique"," Data source"," All types","1.24","1.24","1.25","1.22","1.06","0.99","0.99","0.93","0.84"
"Mozambique"," Data source"," Beer","1.00","1.00","1.01","0.96","0.81","0.74","0.72","0.68","0.61"
"Mozambique"," Data source"," Wine","0.03","0.05","0.08","0.09","0.09","0.09","0.11","0.11","0.10"
"Mozambique"," Data source"," Spirits","0.21","0.19","0.15","0.17","0.17","0.16","0.15","0.13","0.13"
"Mozambique"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00"
"Myanmar"," Data source"," All types","1.78","1.75","1.60","1.46","1.36","1.31","1.24","1.09","0.97"
"Myanmar"," Data source"," Beer","0.45","0.45","0.42","0.37","0.32","0.28","0.24","0.18","0.15"
"Myanmar"," Data source"," Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Myanmar"," Data source"," Spirits","1.33","1.30","1.18","1.09","1.04","1.03","1.00","0.92","0.82"
"Myanmar"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Namibia"," Data source"," All types","4.30","4.45","4.33","4.17","3.98","3.71","3.52","1.50","1.33"
"Namibia"," Data source"," Beer","1.30","1.30","1.26","1.19","1.18","1.14","1.14","1.07","1.04"
"Namibia"," Data source"," Wine","2.05","2.10","1.93","1.79","1.62","1.46","1.34","0.06","0.06"
"Namibia"," Data source"," Spirits","0.57","0.62","0.67","0.71","0.72","0.67","0.64","0.22","0.07"
"Namibia"," Data source"," Other alcoholic beverages","0.37","0.44","0.47","0.48","0.46","0.43","0.40","0.15","0.15"
"Nauru"," Data source"," All types","2.17","2.17","2.17","2.17","2.17","2.17","3.20","3.98","4.25"
"Nauru"," Data source"," Beer","0.48","0.48","0.48","0.48","0.48","0.48","0.44","1.63","1.67"
"Nauru"," Data source"," Wine","0.08","0.08","0.08","0.08","0.08","0.08","0.20","0.05","0.23"
"Nauru"," Data source"," Spirits","1.61","1.61","1.61","1.61","1.61","1.61","2.56","2.30","2.35"
"Nauru"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"Nepal"," Data source"," All types","0.32","0.32","0.29","0.28","0.28","0.27","0.25","0.24","0.23"
"Nepal"," Data source"," Beer","0.22","0.22","0.19","0.18","0.17","0.15","0.13","0.12","0.10"
"Nepal"," Data source"," Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Nepal"," Data source"," Spirits","0.10","0.10","0.10","0.10","0.10","0.12","0.12","0.12","0.12"
"Nepal"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0.00","0.00","0.00"
"Netherlands"," Data source"," All types","8.34","8.34","8.30","8.30","8.39","8.58","9.06","9.00","9.07"
"Netherlands"," Data source"," Beer","4.00","4.02","4.05","4.04","4.12","4.20","4.37","4.34","4.36"
"Netherlands"," Data source"," Wine","2.94","2.94","2.89","2.94","2.95","2.87","3.16","3.17","3.18"
"Netherlands"," Data source"," Spirits","1.41","1.38","1.35","1.32","1.32","1.52","1.52","1.49","1.53"
"Netherlands"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"New Zealand"," Data source"," All types","9.12","9.06","9.02","8.68","8.98","9.12","9.17","9.45","9.62"
"New Zealand"," Data source"," Beer","3.39","3.34","3.37","3.28","3.33","3.45","3.38","3.65","3.68"
"New Zealand"," Data source"," Wine","2.94","3.02","3.01","2.91","3.13","3.01","3.00","3.01","3.23"
"New Zealand"," Data source"," Spirits","1.56","1.49","1.49","1.40","1.47","1.52","1.52","1.53","1.52"
"New Zealand"," Data source"," Other alcoholic beverages","1.23","1.20","1.14","1.10","1.05","1.15","1.26","1.26","1.20"
"Nicaragua"," Data source"," All types","3.81","3.89","3.81","3.73","3.55","3.56","3.61","3.36","3.35"
"Nicaragua"," Data source"," Beer","1.61","1.61","1.53","1.45","1.38","1.35","1.32","1.32","1.32"
"Nicaragua"," Data source"," Wine","0.02","0.03","0.03","0.03","0.03","0.02","0.02","0.02","0.02"
"Nicaragua"," Data source"," Spirits","2.18","2.24","2.25","2.25","2.13","2.19","2.26","2.02","2.01"
"Nicaragua"," Data source"," Other alcoholic beverages","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Niger"," Data source"," All types","0.13","0.13","0.13","0.13","0.13","0.10","0.16","0.13","0.11"
"Niger"," Data source"," Beer","0.04","0.04","0.05","0.05","0.05","0.04","0.05","0.05","0.05"
"Niger"," Data source"," Wine","0.02","0.02","0.01","0.01","0.01","0.01","0.02","0.01","0.01"
"Niger"," Data source"," Spirits","0.07","0.07","0.07","0.07","0.06","0.04","0.09","0.07","0.05"
"Niger"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0","0","0","0"
"Nigeria"," Data source"," All types","7.79","7.79","7.82","7.83","8.05","9.71","9.98","10.22","10.40"
"Nigeria"," Data source"," Beer","0.73","0.73","0.77","0.77","0.77","0.77","0.76","0.75","0.71"
"Nigeria"," Data source"," Wine","0.04","0.04","0.03","0.04","0.05","0.06","0.06","0.05","0.04"
"Nigeria"," Data source"," Spirits","0.06","0.06","0.06","0.06","0.08","0.06","0.06","0.06","0.09"
"Nigeria"," Data source"," Other alcoholic beverages","6.96","6.96","6.96","6.96","7.14","8.83","9.11","9.35","9.56"
"Niue"," Data source"," All types","9.11","9.11","9.22","8.80","8.39","8.61","9.73","7.41","5.01"
"Niue"," Data source"," Beer","4.60","4.60","4.60","4.60","4.60","4.60","2.33","3.18","1.71"
"Niue"," Data source"," Wine","2.01","2.01","2.12","1.70","1.29","1.50","1.66","2.07","1.14"
"Niue"," Data source"," Spirits","2.50","2.50","2.50","2.50","2.50","2.50","5.74","2.15","2.16"
"Niue"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"Norway"," Data source"," All types","6.02","6.00","6.03","5.97","6.06","6.21","6.21","6.44","6.59"
"Norway"," Data source"," Beer","2.66","2.63","2.65","2.57","2.62","2.68","2.67","2.83","2.91"
"Norway"," Data source"," Wine","2.20","2.19","2.21","2.22","2.25","2.30","2.29","2.30","2.29"
"Norway"," Data source"," Spirits","0.97","1.01","1.01","1.03","1.04","1.09","1.11","1.18","1.25"
"Norway"," Data source"," Other alcoholic beverages","0.19","0.17","0.16","0.15","0.15","0.14","0.14","0.13","0.14"
"Oman"," Data source"," All types","0.40","0.40","0.40","0.42","0.43","0.45","0.49","0.50","0.51"
"Oman"," Data source"," Beer","0.16","0.16","0.17","0.17","0.17","0.18","0.19","0.20","0.20"
"Oman"," Data source"," Wine","0.02","0.02","0.01","0.01","0.01","0.01","0.03","0.02","0.03"
"Oman"," Data source"," Spirits","0.21","0.22","0.23","0.24","0.24","0.26","0.28","0.28","0.28"
"Oman"," Data source"," Other alcoholic beverages","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Pakistan"," Data source"," All types","0.05","0.05","0.05","0.04","0.04","0.05","0.03","0.04","0.04"
"Pakistan"," Data source"," Beer","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Pakistan"," Data source"," Wine","0.00","0.00","0.00","0.00","0.00","0.02","0.00","0.00","0.00"
"Pakistan"," Data source"," Spirits","0.04","0.04","0.04","0.04","0.03","0.03","0.03","0.03","0.03"
"Pakistan"," Data source"," Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Panama"," Data source"," All types","6.92","6.89","6.70","6.92","6.34","6.26","6.25","6.22","6.16"
"Panama"," Data source"," Beer","5.42","5.42","5.14","5.36","4.79","4.43","4.27","4.21","4.10"
"Panama"," Data source"," Wine","0.25","0.25","0.25","0.24","0.24","0.25","0.25","0.25","0.24"
"Panama"," Data source"," Spirits","1.24","1.20","1.30","1.31","1.29","1.56","1.71","1.74","1.80"
"Panama"," Data source"," Other alcoholic beverages","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.01"
"Papua New Guinea"," Data source"," All types","0.80","0.80","0.80","0.75","0.76","0.82","0.97","0.84","0.75"
"Papua New Guinea"," Data source"," Beer","0.69","0.69","0.70","0.65","0.70","0.76","0.90","0.81","0.72"
"Papua New Guinea"," Data source"," Wine","0.06","0.06","0.05","0.06","0.02","0.02","0.03","0.02","0.01"
"Papua New Guinea"," Data source"," Spirits","0.05","0.05","0.05","0.05","0.05","0.05","0.04","0.00","0.01"
"Papua New Guinea"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"Paraguay"," Data source"," All types","6.02","6.00","5.85","5.62","5.86","5.64","5.81","6.15","6.29"
"Paraguay"," Data source"," Beer","3.24","3.24","3.15","3.13","3.17","3.20","3.21","3.32","3.28"
"Paraguay"," Data source"," Wine","1.10","1.10","1.01","0.80","0.92","0.64","0.79","0.96","1.14"
"Paraguay"," Data source"," Spirits","1.60","1.59","1.63","1.63","1.70","1.74","1.76","1.83","1.83"
"Paraguay"," Data source"," Other alcoholic beverages","0.07","0.07","0.06","0.06","0.06","0.05","0.05","0.05","0.04"
"Peru"," Data source"," All types","5.30","5.30","5.31","5.30","5.26","5.12","5.21","5.09","5.13"
"Peru"," Data source"," Beer","3.06","3.06","3.07","3.06","3.09","3.07","3.19","3.09","3.13"
"Peru"," Data source"," Wine","0.43","0.43","0.43","0.43","0.43","0.42","0.41","0.37","0.35"
"Peru"," Data source"," Spirits","1.80","1.80","1.80","1.80","1.73","1.62","1.61","1.62","1.65"
"Peru"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Philippines"," Data source"," All types","4.83","4.75","4.53","4.52","4.62","4.63","4.98","4.86","4.74"
"Philippines"," Data source"," Beer","1.38","1.38","1.24","1.11","1.10","1.10","1.25","1.28","1.29"
"Philippines"," Data source"," Wine","0.04","0.04","0.04","0.04","0.02","0.02","0.02","0.02","0.02"
"Philippines"," Data source"," Spirits","3.40","3.32","3.25","3.37","3.48","3.49","3.67","3.44","3.29"
"Philippines"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.02","0.03","0.12","0.14"
"Poland"," Data source"," All types","10.62","10.53","10.43","10.47","10.45","10.80","10.21","10.24","10.07"
"Poland"," Data source"," Beer","5.90","5.78","5.84","5.82","5.80","5.74","5.84","5.56","5.32"
"Poland"," Data source"," Wine","0.85","0.87","0.83","0.89","0.89","0.82","0.83","0.91","0.98"
"Poland"," Data source"," Spirits","3.88","3.87","3.76","3.76","3.76","4.23","3.53","3.77","3.77"
"Poland"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"Portugal"," Data source"," All types","10.37","10.37","10.37","10.34","10.20","9.52","9.76","10.86","11.26"
"Portugal"," Data source"," Beer","2.62","2.62","2.62","2.57","2.47","2.58","2.64","2.75","3.03"
"Portugal"," Data source"," Wine","6.04","6.04","6.04","6.05","5.96","5.16","5.34","6.37","6.44"
"Portugal"," Data source"," Spirits","1.34","1.34","1.34","1.34","1.40","1.40","1.40","1.40","1.41"
"Portugal"," Data source"," Other alcoholic beverages","0.37","0.37","0.37","0.37","0.38","0.38","0.38","0.32","0.38"
"Qatar"," Data source"," All types","1.02","1.04","1.04","1.07","1.05","1.07","1.07","1.10","1.11"
"Qatar"," Data source"," Beer","0.30","0.30","0.30","0.29","0.30","0.30","0.32","0.31","0.32"
"Qatar"," Data source"," Wine","0.08","0.08","0.08","0.09","0.09","0.09","0.09","0.09","0.09"
"Qatar"," Data source"," Spirits","0.64","0.65","0.66","0.68","0.66","0.68","0.66","0.69","0.69"
"Qatar"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Republic of Korea"," Data source"," All types","8.65","8.65","8.69","9.09","8.94","8.77","8.98","8.86","8.90"
"Republic of Korea"," Data source"," Beer","1.94","1.94","2.00","2.03","2.01","2.10","1.98","1.93","1.89"
"Republic of Korea"," Data source"," Wine","0.14","0.14","0.15","0.17","0.15","0.15","0.13","0.13","0.14"
"Republic of Korea"," Data source"," Spirits","0.28","0.28","0.30","0.34","0.39","0.38","0.37","0.38","0.40"
"Republic of Korea"," Data source"," Other alcoholic beverages","6.30","6.30","6.24","6.56","6.39","6.14","6.50","6.42","6.48"
"Republic of Moldova"," Data source"," All types","7.45","7.45","7.22","6.76","7.40","8.48","8.30","8.21","6.92"
"Republic of Moldova"," Data source"," Beer","1.51","1.51","1.50","1.52","1.62","1.78","1.95","1.83","1.65"
"Republic of Moldova"," Data source"," Wine","3.44","3.44","3.36","2.68","2.75","3.19","3.49","3.66","2.98"
"Republic of Moldova"," Data source"," Spirits","2.25","2.25","2.09","2.34","2.83","3.13","2.55","2.07","1.68"
"Republic of Moldova"," Data source"," Other alcoholic beverages","0.25","0.25","0.27","0.22","0.20","0.38","0.31","0.65","0.62"
"North Macedonia"," Data source"," All types","3.80","3.77","3.63","3.57","3.56","3.61","3.54","3.53","3.53"
"North Macedonia"," Data source"," Beer","1.84","1.84","1.70","1.67","1.65","1.71","1.66","1.60","1.59"
"North Macedonia"," Data source"," Wine","1.03","1.03","1.04","1.04","1.04","1.04","1.04","1.06","1.06"
"North Macedonia"," Data source"," Spirits","0.89","0.87","0.85","0.83","0.83","0.83","0.81","0.84","0.86"
"North Macedonia"," Data source"," Other alcoholic beverages","0.04","0.04","0.03","0.03","0.03","0.03","0.02","0.02","0.02"
"Romania"," Data source"," All types","10.14","10.14","9.57","9.45","9.48","9.65","9.66","9.58","10.01"
"Romania"," Data source"," Beer","5.28","5.28","5.25","5.22","4.86","5.14","5.35","5.00","4.83"
"Romania"," Data source"," Wine","3.09","3.09","2.55","2.70","3.21","3.08","3.00","3.03","3.16"
"Romania"," Data source"," Spirits","1.77","1.77","1.77","1.54","1.42","1.42","1.30","1.54","2.02"
"Romania"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"Russian Federation"," Data source"," All types","7.69","7.24","8.20","8.36","9.25","10.17","10.86","10.92","10.95"
"Russian Federation"," Data source"," Beer","3.35","3.05","3.53","3.65","3.96","4.23","4.20","4.16","4.12"
"Russian Federation"," Data source"," Wine","1.14","1.10","1.08","1.11","1.17","1.11","1.21","1.24","1.29"
"Russian Federation"," Data source"," Spirits","3.21","3.09","3.59","3.60","4.12","4.83","5.46","5.52","5.55"
"Russian Federation"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0"
"Rwanda"," Data source"," All types","6.99","6.99","7.09","7.05","7.12","6.86","7.08","7.27","7.65"
"Rwanda"," Data source"," Beer","1.06","1.06","1.16","1.12","0.92","1.01","0.97","0.90","0.80"
"Rwanda"," Data source"," Wine","0.01","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.00"
"Rwanda"," Data source"," Spirits","0.04","0.04","0.04","0.04","0.13","0.19","0.13","0.09","0.04"
"Rwanda"," Data source"," Other alcoholic beverages","5.88","5.88","5.88","5.88","6.06","5.64","5.98","6.28","6.80"
